DateTime,NOx,NO2,NO,SiteID,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Temperature,RH,Air Pressure,Location,geo_point_2d,DateStart,DateEnd,Current,Instrument Type
2019-05-15 05:00:00+00:00,19.75,18.0,1.5,501,11.8,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-15 09:00:00+00:00,210.25,77.75,86.25,501,29.125,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-15 12:00:00+00:00,113.75,54.25,39.0,501,35.5,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-16 09:00:00+00:00,173.25,73.25,65.25,501,40.95,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-16 10:00:00+00:00,161.25,51.25,71.75,501,59.325,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-17 12:00:00+00:00,199.0,80.5,77.5,501,22.3,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-17 22:00:00+00:00,58.5,45.25,8.5,501,25.4,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-18 05:00:00+00:00,35.25,25.25,6.5,501,15.275,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-18 15:00:00+00:00,223.5,74.75,96.75,501,33.25,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-19 15:00:00+00:00,128.75,56.75,46.75,501,21.675,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-20 00:00:00+00:00,72.0,39.25,21.5,501,9.3,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-20 01:00:00+00:00,35.0,22.75,8.0,501,9.7,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-20 07:00:00+00:00,160.75,58.0,67.0,501,13.85,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-20 08:00:00+00:00,277.25,91.75,120.75,501,18.4,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-20 10:00:00+00:00,240.0,84.0,101.25,501,29.925,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
